"Manage iCatalogues","Manage iCatalogues"
"iCatalogue configuration","iCatalogue configuration"
"iCatalogue","iCatalogue"
"Catalogues","Catalogues"
"Manage Catalogues","Manage Catalogues"
"General Information","General Information"
"Title","Title"
"Store Views","Store Views"
"Images","Images"
"Image","Image"
"Save Catalogue","Save Catalogue"
"Save and Continue Edit","Save and Continue Edit"
"New Catalogue","New Catalogue"
"Add a catalogue","Add a catalogue"
"The catalogue was deleted successfully","The catalogue was deleted successfully"
"An error ocurred while deleting the catalogue","An error ocurred while deleting the catalogue"
"The requested catalogue doesn't exist","The requested catalogue doesn't exist"
"The catalogue was saved successfully","The catalogue was saved successfully"
"An error ocurred while saving the catalogue","An error ocurred while saving the catalogue"
"Add new image","Add new image"
"General","General"
"Settings","Settings"
"Catalogue page height (pixels)","Catalogue page height (pixels)"
"Catalogue page width (pixels)","Catalogue page width (pixels)"
"View","View"
"Default: 600","Default: 600"
"Default: 461","Default: 461"